Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Talicia,57841-1150-2,"10 mg/1, 250 mg/1, 12.5 mg/1","CAPSULE, DELAYED RELEASE",ORAL,NDA213004,RedHill Biopharma Ltd,57841-1150,"omeprazole magnesium, amoxicillin and rifabutin",AMOXICILLIN; OMEPRAZOLE MAGNESIUM; RIFABUTIN,HUMAN PRESCRIPTION DRUG,03/09/2020,N/A,NDA,"2 BOTTLE in 1 CARTON (57841-1150-2) / 84 CAPSULE, DELAYED RELEASE in 1 BOTTLE (57841-1150-1)","Cytochrome P450 2C19 Inhibitors [MoA], Penicillin-class Antibacterial [EPC], Penicillins [CS], Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA], Rifamycin Antimycobacterial [EPC], Rifamycins [CS]",N/A,No,12/31/2026
Talicia,57841-1150-4,"10 mg/1, 250 mg/1, 12.5 mg/1","CAPSULE, DELAYED RELEASE",ORAL,NDA213004,RedHill Biopharma Ltd,57841-1150,"omeprazole magnesium, amoxicillin and rifabutin",AMOXICILLIN; OMEPRAZOLE MAGNESIUM; RIFABUTIN,HUMAN PRESCRIPTION DRUG,09/24/2021,N/A,NDA,"2 BOTTLE in 1 CARTON (57841-1150-4) / 84 CAPSULE, DELAYED RELEASE in 1 BOTTLE (57841-1150-3)","Cytochrome P450 2C19 Inhibitors [MoA], Penicillin-class Antibacterial [EPC], Penicillins [CS], Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA], Rifamycin Antimycobacterial [EPC], Rifamycins [CS]",N/A,Yes,12/31/2026
