NDC Package Code,category,medication,combo,search_type,search_term,source_file,Proprietary Name,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
65862-286-01,ACE_Inhibitors,PerindoprilErbumine,FALSE,nonproprietary,PerindoprilErbumine,PerindoprilErbumine_nonproprietary_raw.csv,Perindopril Erbumine,2 mg/1,TABLET,ORAL,ANDA079070,Aurobindo Pharma Limited,65862-286,Perindopril Erbumine,PERINDOPRIL ERBUMINE,HUMAN PRESCRIPTION DRUG,11/10/2009,N/A,ANDA,100 TABLET in 1 BOTTLE (65862-286-01),"Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]",N/A,No,12/31/2026
65862-287-01,ACE_Inhibitors,PerindoprilErbumine,FALSE,nonproprietary,PerindoprilErbumine,PerindoprilErbumine_nonproprietary_raw.csv,Perindopril Erbumine,4 mg/1,TABLET,ORAL,ANDA079070,Aurobindo Pharma Limited,65862-287,Perindopril Erbumine,PERINDOPRIL ERBUMINE,HUMAN PRESCRIPTION DRUG,11/10/2009,N/A,ANDA,100 TABLET in 1 BOTTLE (65862-287-01),"Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]",N/A,No,12/31/2026
65862-288-01,ACE_Inhibitors,PerindoprilErbumine,FALSE,nonproprietary,PerindoprilErbumine,PerindoprilErbumine_nonproprietary_raw.csv,Perindopril Erbumine,8 mg/1,TABLET,ORAL,ANDA079070,Aurobindo Pharma Limited,65862-288,Perindopril Erbumine,PERINDOPRIL ERBUMINE,HUMAN PRESCRIPTION DRUG,11/10/2009,N/A,ANDA,100 TABLET in 1 BOTTLE (65862-288-01),"Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]",N/A,No,12/31/2026
