NDC Package Code,category,medication,combo,search_type,search_term,source_file,Proprietary Name,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
0591-0860-05,ACE_Inhibitors,Lisinopril,FALSE,nonproprietary,Lisinopril,Lisinopril_nonproprietary_raw.csv,Lisinopril and Hydrochlorothiazide,"12.5 mg/1,                         10  mg/1",TABLET,ORAL,ANDA076194,"Actavis Pharma, Inc.",0591-0860,Lisinopril and Hydrochlorothiazide,HYDROCHLOROTHIAZIDE;  LISINOPRIL,HUMAN PRESCRIPTION DRUG,07/01/2002,N/A,ANDA,"500 TABLET in 1 BOTTLE, PLASTIC (0591-0860-05)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Increased Diuresis [PE],  Thiazide Diuretic [EPC],  Thiazides [CS]",N/A,No,12/31/2026
0591-0861-01,ACE_Inhibitors,Lisinopril,FALSE,nonproprietary,Lisinopril,Lisinopril_nonproprietary_raw.csv,Lisinopril and Hydrochlorothiazide,"12.5 mg/1,                         20  mg/1",TABLET,ORAL,ANDA076194,"Actavis Pharma, Inc.",0591-0861,Lisinopril and Hydrochlorothiazide,HYDROCHLOROTHIAZIDE;  LISINOPRIL,HUMAN PRESCRIPTION DRUG,03/04/2003,N/A,ANDA,"100 TABLET in 1 BOTTLE, PLASTIC (0591-0861-01)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Increased Diuresis [PE],  Thiazide Diuretic [EPC],  Thiazides [CS]",N/A,No,12/31/2026
0591-0861-05,ACE_Inhibitors,Lisinopril,FALSE,nonproprietary,Lisinopril,Lisinopril_nonproprietary_raw.csv,Lisinopril and Hydrochlorothiazide,"12.5 mg/1,                         20  mg/1",TABLET,ORAL,ANDA076194,"Actavis Pharma, Inc.",0591-0861,Lisinopril and Hydrochlorothiazide,HYDROCHLOROTHIAZIDE;  LISINOPRIL,HUMAN PRESCRIPTION DRUG,03/04/2003,N/A,ANDA,"500 TABLET in 1 BOTTLE, PLASTIC (0591-0861-05)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Increased Diuresis [PE],  Thiazide Diuretic [EPC],  Thiazides [CS]",N/A,No,12/31/2026
0591-0862-01,ACE_Inhibitors,Lisinopril,FALSE,nonproprietary,Lisinopril,Lisinopril_nonproprietary_raw.csv,Lisinopril and Hydrochlorothiazide,"25 mg/1,                         20  mg/1",TABLET,ORAL,ANDA076194,"Actavis Pharma, Inc.",0591-0862,Lisinopril and Hydrochlorothiazide,HYDROCHLOROTHIAZIDE;  LISINOPRIL,HUMAN PRESCRIPTION DRUG,03/04/2003,N/A,ANDA,"100 TABLET in 1 BOTTLE, PLASTIC (0591-0862-01)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Increased Diuresis [PE],  Thiazide Diuretic [EPC],  Thiazides [CS]",N/A,No,12/31/2026
0591-0862-05,ACE_Inhibitors,Lisinopril,FALSE,nonproprietary,Lisinopril,Lisinopril_nonproprietary_raw.csv,Lisinopril and Hydrochlorothiazide,"25 mg/1,                         20  mg/1",TABLET,ORAL,ANDA076194,"Actavis Pharma, Inc.",0591-0862,Lisinopril and Hydrochlorothiazide,HYDROCHLOROTHIAZIDE;  LISINOPRIL,HUMAN PRESCRIPTION DRUG,03/04/2003,N/A,ANDA,"500 TABLET in 1 BOTTLE, PLASTIC (0591-0862-05)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Increased Diuresis [PE],  Thiazide Diuretic [EPC],  Thiazides [CS]",N/A,No,12/31/2026
0591-0885-01,ACE_Inhibitors,Lisinopril,FALSE,nonproprietary,Lisinopril,Lisinopril_nonproprietary_raw.csv,Lisinopril,30 mg/1,TABLET,ORAL,ANDA076059,"Actavis Pharma, Inc.",0591-0885,Lisinopril,LISINOPRIL,HUMAN PRESCRIPTION DRUG,07/01/2002,N/A,ANDA,"100 TABLET in 1 BOTTLE, PLASTIC (0591-0885-01)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]",N/A,No,12/31/2026
0615-8252-05,ACE_Inhibitors,Lisinopril,FALSE,nonproprietary,Lisinopril,Lisinopril_nonproprietary_raw.csv,Lisinopril,2.5 mg/1,TABLET,ORAL,ANDA077321,"NCS HealthCare of KY, LLC dba Vangard Labs",0615-8252,Lisinopril,LISINOPRIL,HUMAN PRESCRIPTION DRUG,01/03/2019,N/A,ANDA,15 TABLET in 1 BLISTER PACK (0615-8252-05),"Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]",N/A,No,12/31/2026
0615-8252-39,ACE_Inhibitors,Lisinopril,FALSE,nonproprietary,Lisinopril,Lisinopril_nonproprietary_raw.csv,Lisinopril,2.5 mg/1,TABLET,ORAL,ANDA077321,"NCS HealthCare of KY, LLC dba Vangard Labs",0615-8252,Lisinopril,LISINOPRIL,HUMAN PRESCRIPTION DRUG,01/03/2019,N/A,ANDA,30 TABLET in 1 BLISTER PACK (0615-8252-39),"Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]",N/A,No,12/31/2026
0615-8253-05,ACE_Inhibitors,Lisinopril,FALSE,nonproprietary,Lisinopril,Lisinopril_nonproprietary_raw.csv,Lisinopril,5 mg/1,TABLET,ORAL,ANDA077321,"NCS HealthCare of KY, LLC dba Vangard Labs",0615-8253,Lisinopril,LISINOPRIL,HUMAN PRESCRIPTION DRUG,01/07/2019,N/A,ANDA,15 TABLET in 1 BLISTER PACK (0615-8253-05),"Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]",N/A,No,12/31/2026
0615-8253-39,ACE_Inhibitors,Lisinopril,FALSE,nonproprietary,Lisinopril,Lisinopril_nonproprietary_raw.csv,Lisinopril,5 mg/1,TABLET,ORAL,ANDA077321,"NCS HealthCare of KY, LLC dba Vangard Labs",0615-8253,Lisinopril,LISINOPRIL,HUMAN PRESCRIPTION DRUG,01/07/2019,N/A,ANDA,30 TABLET in 1 BLISTER PACK (0615-8253-39),"Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]",N/A,No,12/31/2026
