"category","medication","combo","search_type","search_term","source_file","Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:","qc_missing_fields","qc_sparse"
"Other_Cardiovascular_Drugs","Losartan",FALSE,"nonproprietary","Losartan","Losartan_nonproprietary_raw.csv","Losartan Potassium (E)","67296-2225-1","","","","","Redpharm Drug","","","","","","N/A","","","N/A","N/A","N/A","",3,TRUE
"Other_Cardiovascular_Drugs","Simvastatin",FALSE,"nonproprietary","Simvastatin","Simvastatin_nonproprietary_raw.csv","SIMVASTATIN (E)","68788-8379-6","","","","","Preferred Pharmaceuticals Inc.","","","","","","N/A","","","N/A","N/A","N/A","",3,TRUE
"Other_Cardiovascular_Drugs","Simvastatin",FALSE,"nonproprietary","Simvastatin","Simvastatin_nonproprietary_raw.csv","SIMVASTATIN (E)","68788-8379-3","","","","","Preferred Pharmaceuticals Inc.","","","","","","N/A","","","N/A","N/A","N/A","",3,TRUE
"Other_Cardiovascular_Drugs","Simvastatin",FALSE,"nonproprietary","Simvastatin","Simvastatin_nonproprietary_raw.csv","SIMVASTATIN (E)","68788-8379-1","","","","","Preferred Pharmaceuticals Inc.","","","","","","N/A","","","N/A","N/A","N/A","",3,TRUE
"Other_Cardiovascular_Drugs","Simvastatin",FALSE,"nonproprietary","Simvastatin","Simvastatin_nonproprietary_raw.csv","SIMVASTATIN (E)","68788-8379-9","","","","","Preferred Pharmaceuticals Inc.","","","","","","N/A","","","N/A","N/A","N/A","",3,TRUE
"Other_Cardiovascular_Drugs","Warfarin",FALSE,"nonproprietary","Warfarin","Warfarin_nonproprietary_raw.csv","Warfarin Sodium (E)","68788-7357-9","","","","","Preferred Pharmaceuticals, Inc.","","","","","","N/A","","","N/A","N/A","N/A","",3,TRUE
"Other_Cardiovascular_Drugs","Warfarin",FALSE,"nonproprietary","Warfarin","Warfarin_nonproprietary_raw.csv","Warfarin Sodium (E)","68788-7357-3","","","","","Preferred Pharmaceuticals, Inc.","","","","","","N/A","","","N/A","N/A","N/A","",3,TRUE
"Other_Cardiovascular_Drugs","Warfarin",FALSE,"nonproprietary","Warfarin","Warfarin_nonproprietary_raw.csv","Warfarin Sodium (E)","68788-7357-1","","","","","Preferred Pharmaceuticals, Inc.","","","","","","N/A","","","N/A","N/A","N/A","",3,TRUE
"Other_Cardiovascular_Drugs","Warfarin",FALSE,"nonproprietary","Warfarin","Warfarin_nonproprietary_raw.csv","Warfarin Sodium (E)","68788-7357-6","","","","","Preferred Pharmaceuticals, Inc.","","","","","","N/A","","","N/A","N/A","N/A","",3,TRUE
"Other_Cardiovascular_Drugs","Warfarin",FALSE,"nonproprietary","Warfarin","Warfarin_nonproprietary_raw.csv","Warfarin Sodium (E)","68788-7358-9","","","","","Preferred Pharmaceuticals, Inc.","","","","","","N/A","","","N/A","N/A","N/A","",3,TRUE
"Other_Cardiovascular_Drugs","Warfarin",FALSE,"nonproprietary","Warfarin","Warfarin_nonproprietary_raw.csv","Warfarin Sodium (E)","68788-7358-1","","","","","Preferred Pharmaceuticals, Inc.","","","","","","N/A","","","N/A","N/A","N/A","",3,TRUE
"Other_Cardiovascular_Drugs","Warfarin",FALSE,"nonproprietary","Warfarin","Warfarin_nonproprietary_raw.csv","Warfarin Sodium (E)","68788-7358-3","","","","","Preferred Pharmaceuticals, Inc.","","","","","","N/A","","","N/A","N/A","N/A","",3,TRUE
"Other_Cardiovascular_Drugs","Warfarin",FALSE,"nonproprietary","Warfarin","Warfarin_nonproprietary_raw.csv","Warfarin Sodium (E)","68788-7358-6","","","","","Preferred Pharmaceuticals, Inc.","","","","","","N/A","","","N/A","N/A","N/A","",3,TRUE
"Other_Cardiovascular_Drugs","Warfarin",FALSE,"nonproprietary","Warfarin","Warfarin_nonproprietary_raw.csv","Warfarin Sodium (E)","68788-7515-9","","","","","Preferred Pharmaceuticals, Inc.","","","","","","N/A","","","N/A","N/A","N/A","",3,TRUE
"Other_Cardiovascular_Drugs","Warfarin",FALSE,"nonproprietary","Warfarin","Warfarin_nonproprietary_raw.csv","Warfarin Sodium (E)","68788-7515-3","","","","","Preferred Pharmaceuticals, Inc.","","","","","","N/A","","","N/A","N/A","N/A","",3,TRUE
"Other_Cardiovascular_Drugs","Warfarin",FALSE,"nonproprietary","Warfarin","Warfarin_nonproprietary_raw.csv","Warfarin Sodium (E)","68788-7515-6","","","","","Preferred Pharmaceuticals, Inc.","","","","","","N/A","","","N/A","N/A","N/A","",3,TRUE
"Other_Cardiovascular_Drugs","Warfarin",FALSE,"nonproprietary","Warfarin","Warfarin_nonproprietary_raw.csv","Warfarin Sodium (E)","68788-7515-1","","","","","Preferred Pharmaceuticals, Inc.","","","","","","N/A","","","N/A","N/A","N/A","",3,TRUE
