Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Pepcid Complete,16837-298-50,"10 mg/1, 800 mg/1, 165 mg/1","TABLET, CHEWABLE",ORAL,NDA020958,Kenvue Brands LLC,16837-298,"Famotidine, Calcium carbonate, and Magnesium hydroxide",CALCIUM CARBONATE; FAMOTIDINE; MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,03/01/2009,N/A,NDA,"50 TABLET, CHEWABLE in 1 BOTTLE, PLASTIC (16837-298-50)","Histamine H2 Receptor Antagonists [MoA], Histamine-2 Receptor Antagonist [EPC]",N/A,No,12/31/2027
Pepcid Complete,16837-298-52,"10 mg/1, 800 mg/1, 165 mg/1","TABLET, CHEWABLE",ORAL,NDA020958,Kenvue Brands LLC,16837-298,"Famotidine, Calcium carbonate, and Magnesium hydroxide",CALCIUM CARBONATE; FAMOTIDINE; MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,10/31/2025,N/A,NDA,"50 POUCH in 1 CARTON (16837-298-52) / 1 TABLET, CHEWABLE in 1 POUCH","Histamine H2 Receptor Antagonists [MoA], Histamine-2 Receptor Antagonist [EPC]",N/A,No,12/31/2027
Pepcid Complete,16837-891-72,"10 mg/1, 800 mg/1, 165 mg/1","TABLET, CHEWABLE",ORAL,NDA020958,Kenvue Brands LLC,16837-891,"famotidine, calcium carbonate, and magnesium hydroxide",FAMOTIDINE; CALCIUM CARBONATE; MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,05/29/2026,N/A,NDA,"72 TABLET, CHEWABLE in 1 BOTTLE (16837-891-72)","Histamine H2 Receptor Antagonists [MoA], Histamine-2 Receptor Antagonist [EPC]",N/A,No,12/31/2027
Pepcid Complete,16837-891-70,"10 mg/1, 800 mg/1, 165 mg/1","TABLET, CHEWABLE",ORAL,NDA020958,Kenvue Brands LLC,16837-891,"famotidine, calcium carbonate, and magnesium hydroxide",FAMOTIDINE; CALCIUM CARBONATE; MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,08/29/2025,N/A,NDA,"70 TABLET, CHEWABLE in 1 BOTTLE (16837-891-70)","Histamine H2 Receptor Antagonists [MoA], Histamine-2 Receptor Antagonist [EPC]",N/A,No,12/31/2027
Pepcid Complete,16837-891-25,"10 mg/1, 800 mg/1, 165 mg/1","TABLET, CHEWABLE",ORAL,NDA020958,Kenvue Brands LLC,16837-891,"famotidine, calcium carbonate, and magnesium hydroxide",FAMOTIDINE; CALCIUM CARBONATE; MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,03/01/2009,N/A,NDA,"25 TABLET, CHEWABLE in 1 BOTTLE (16837-891-25)","Histamine H2 Receptor Antagonists [MoA], Histamine-2 Receptor Antagonist [EPC]",N/A,No,12/31/2027
Pepcid Complete,16837-891-65,"10 mg/1, 800 mg/1, 165 mg/1","TABLET, CHEWABLE",ORAL,NDA020958,Kenvue Brands LLC,16837-891,"famotidine, calcium carbonate, and magnesium hydroxide",FAMOTIDINE; CALCIUM CARBONATE; MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,01/11/2024,N/A,NDA,"25 TABLET, CHEWABLE in 1 BOTTLE (16837-891-65)","Histamine H2 Receptor Antagonists [MoA], Histamine-2 Receptor Antagonist [EPC]",N/A,No,12/31/2027
Pepcid Complete,16837-891-50,"10 mg/1, 800 mg/1, 165 mg/1","TABLET, CHEWABLE",ORAL,NDA020958,Kenvue Brands LLC,16837-891,"famotidine, calcium carbonate, and magnesium hydroxide",FAMOTIDINE; CALCIUM CARBONATE; MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,03/01/2009,N/A,NDA,"50 TABLET, CHEWABLE in 1 BOTTLE (16837-891-50)","Histamine H2 Receptor Antagonists [MoA], Histamine-2 Receptor Antagonist [EPC]",N/A,No,12/31/2027
Pepcid Complete,16837-891-66,"10 mg/1, 800 mg/1, 165 mg/1","TABLET, CHEWABLE",ORAL,NDA020958,Kenvue Brands LLC,16837-891,"famotidine, calcium carbonate, and magnesium hydroxide",FAMOTIDINE; CALCIUM CARBONATE; MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,12/14/2023,N/A,NDA,"50 TABLET, CHEWABLE in 1 BOTTLE (16837-891-66)","Histamine H2 Receptor Antagonists [MoA], Histamine-2 Receptor Antagonist [EPC]",N/A,No,12/31/2027
Pepcid Complete,53209-4001-2,"10 mg/1, 800 mg/1, 165 mg/1","TABLET, CHEWABLE",ORAL,NDA020958,Morning Star OTC,53209-4001,"Famotidine, Calcium carbonate, and Magnesium hydroxide",CALCIUM CARBONATE; FAMOTIDINE; MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,06/19/2025,N/A,NDA,"25 BLISTER PACK in 1 PACKET (53209-4001-2) / 1 TABLET, CHEWABLE in 1 BLISTER PACK (53209-4001-1)","Histamine H2 Receptor Antagonists [MoA], Histamine-2 Receptor Antagonist [EPC]",N/A,No,12/31/2026
Pepcid Complete,66715-6422-7,"165 mg/1, 10 mg/1, 800 mg/1","TABLET, CHEWABLE",ORAL,NDA020958,"Lil' Drug Store Products, Inc.",66715-6422,"Famotidine, Calcium Carbonate, Magnesium Hydroxide Chewable Tablet",CALCIUM CARBONATE; FAMOTIDINE; MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,04/19/2022,N/A,NDA,"25 POUCH in 1 BOX, UNIT-DOSE (66715-6422-7) / 1 TABLET, CHEWABLE in 1 POUCH","Histamine H2 Receptor Antagonists [MoA], Histamine-2 Receptor Antagonist [EPC]",N/A,No,12/31/2026
