"broad_group","category","medication","combo","search_type","search_term","source_file","Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:","qc_missing_fields","qc_sparse"
"Neurologic:musculoskeletal_Medication","Migraine_Treatment:prevention","Sumatriptan",FALSE,"proprietary","Imitrex","Sumatriptan_Imitrex_proprietary_raw.csv","IMITREX (E)","61919-408-09",NA,NA,NA,NA,"DIRECT RX",NA,NA,NA,NA,NA,"N/A",NA,NA,"N/A","N/A","N/A",NA,3,TRUE
"Neurologic:musculoskeletal_Medication","Migraine_Treatment:prevention","Sumatriptan",FALSE,"proprietary","Imitrex","Sumatriptan_Imitrex_proprietary_raw.csv","IMITREX (U)","61919-950-09",NA,NA,NA,NA,"DIRECTRX",NA,NA,NA,NA,NA,"N/A",NA,NA,"N/A","N/A","N/A",NA,3,TRUE
"Neurologic:musculoskeletal_Medication","Migraine_Treatment:prevention","Sumatriptan",FALSE,"nonproprietary","Sumatriptan","Sumatriptan_nonproprietary_raw.csv","IMITREX (E)","61919-408-09",NA,NA,NA,NA,"DIRECT RX",NA,NA,NA,NA,NA,"N/A",NA,NA,"N/A","N/A","N/A",NA,3,TRUE
"Neurologic:musculoskeletal_Medication","Migraine_Treatment:prevention","Sumatriptan",FALSE,"nonproprietary","Sumatriptan","Sumatriptan_nonproprietary_raw.csv","IMITREX (U)","61919-950-09",NA,NA,NA,NA,"DIRECTRX",NA,NA,NA,NA,NA,"N/A",NA,NA,"N/A","N/A","N/A",NA,3,TRUE
"Neurologic:musculoskeletal_Medication","Migraine_Treatment:prevention","Topiramate",FALSE,"nonproprietary","Topiramate","Topiramate_nonproprietary_raw.csv","TOPAMAX (U)","61919-189-60",NA,NA,NA,NA,"DIRECT RX",NA,NA,NA,NA,NA,"N/A",NA,NA,"N/A","N/A","N/A",NA,3,TRUE
"Neurologic:musculoskeletal_Medication","Migraine_Treatment:prevention","Topiramate",FALSE,"nonproprietary","Topiramate","Topiramate_nonproprietary_raw.csv","Topiramate (U)","68382-768-06",NA,NA,NA,NA,"Zydus Pharmaceuticals USA Inc.",NA,NA,NA,NA,NA,"N/A",NA,NA,"N/A","N/A","N/A",NA,3,TRUE
"Neurologic:musculoskeletal_Medication","Migraine_Treatment:prevention","Topiramate",FALSE,"nonproprietary","Topiramate","Topiramate_nonproprietary_raw.csv","Topiramate (U)","68382-768-05",NA,NA,NA,NA,"Zydus Pharmaceuticals USA Inc.",NA,NA,NA,NA,NA,"N/A",NA,NA,"N/A","N/A","N/A",NA,3,TRUE
"Neurologic:musculoskeletal_Medication","Migraine_Treatment:prevention","Topiramate",FALSE,"nonproprietary","Topiramate","Topiramate_nonproprietary_raw.csv","Topiramate (U)","68382-768-30",NA,NA,NA,NA,"Zydus Pharmaceuticals USA Inc.",NA,NA,NA,NA,NA,"N/A",NA,NA,"N/A","N/A","N/A",NA,3,TRUE
"Neurologic:musculoskeletal_Medication","Migraine_Treatment:prevention","Topiramate",FALSE,"nonproprietary","Topiramate","Topiramate_nonproprietary_raw.csv","Topiramate (U)","68382-768-01",NA,NA,NA,NA,"Zydus Pharmaceuticals USA Inc.",NA,NA,NA,NA,NA,"N/A",NA,NA,"N/A","N/A","N/A",NA,3,TRUE
"Neurologic:musculoskeletal_Medication","Migraine_Treatment:prevention","Topiramate",FALSE,"nonproprietary","Topiramate","Topiramate_nonproprietary_raw.csv","Topiramate (U)","68382-768-78",NA,NA,NA,NA,"Zydus Pharmaceuticals USA Inc.",NA,NA,NA,NA,NA,"N/A",NA,NA,"N/A","N/A","N/A",NA,3,TRUE
"Neurologic:musculoskeletal_Medication","Migraine_Treatment:prevention","Topiramate",FALSE,"nonproprietary","Topiramate","Topiramate_nonproprietary_raw.csv","Topiramate (U)","70771-1675-7",NA,NA,NA,NA,"Zydus Lifesciences Limited",NA,NA,NA,NA,NA,"N/A",NA,NA,"N/A","N/A","N/A",NA,3,TRUE
"Neurologic:musculoskeletal_Medication","Migraine_Treatment:prevention","Topiramate",FALSE,"nonproprietary","Topiramate","Topiramate_nonproprietary_raw.csv","Topiramate (U)","70771-1675-1",NA,NA,NA,NA,"Zydus Lifesciences Limited",NA,NA,NA,NA,NA,"N/A",NA,NA,"N/A","N/A","N/A",NA,3,TRUE
"Neurologic:musculoskeletal_Medication","Migraine_Treatment:prevention","Topiramate",FALSE,"nonproprietary","Topiramate","Topiramate_nonproprietary_raw.csv","Topiramate (U)","70771-1675-3",NA,NA,NA,NA,"Zydus Lifesciences Limited",NA,NA,NA,NA,NA,"N/A",NA,NA,"N/A","N/A","N/A",NA,3,TRUE
"Neurologic:musculoskeletal_Medication","Migraine_Treatment:prevention","Topiramate",FALSE,"nonproprietary","Topiramate","Topiramate_nonproprietary_raw.csv","Topiramate (U)","70771-1675-2",NA,NA,NA,NA,"Zydus Lifesciences Limited",NA,NA,NA,NA,NA,"N/A",NA,NA,"N/A","N/A","N/A",NA,3,TRUE
"Neurologic:musculoskeletal_Medication","Migraine_Treatment:prevention","Topiramate",FALSE,"nonproprietary","Topiramate","Topiramate_nonproprietary_raw.csv","Topiramate (U)","70771-1675-5",NA,NA,NA,NA,"Zydus Lifesciences Limited",NA,NA,NA,NA,NA,"N/A",NA,NA,"N/A","N/A","N/A",NA,3,TRUE
"Neurologic:musculoskeletal_Medication","Migraine_Treatment:prevention","Topiramate",FALSE,"proprietary","Topamax","Topiramate_Topamax_proprietary_raw.csv","TOPAMAX (U)","61919-189-60",NA,NA,NA,NA,"DIRECT RX",NA,NA,NA,NA,NA,"N/A",NA,NA,"N/A","N/A","N/A",NA,3,TRUE
