"broad_group","category","medication","combo","search_type","search_term","source_file","Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:","qc_missing_fields","qc_sparse","qc_conflict"
"Other","Antibiotics","Amoxicillin",FALSE,"nonproprietary","Amoxicillin","Amoxicillin_nonproprietary_raw.csv","Amoxil","72189-385-32","400 mg/5mL","POWDER, FOR SUSPENSION","ORAL","ANDA065325","DirectRx","72189-385","Amoxicillin Oral Susp","AMOXICILLIN","HUMAN PRESCRIPTION DRUG","10/21/2022","N/A","ANDA","100 mL in 1 BOTTLE (72189-385-32)","Penicillin-class Antibacterial [EPC],  Penicillins [CS]","N/A","No","12/31/2026",0,FALSE,TRUE
"Other","Antibiotics","Amoxicillin",FALSE,"proprietary","Amoxil","Amoxicillin_Amoxil_proprietary_raw.csv","Amoxil","72189-385-32","400 mg/5mL","POWDER, FOR SUSPENSION","ORAL","ANDA065325","DirectRx","72189-385","Amoxicillin Oral Susp","AMOXICILLIN","HUMAN PRESCRIPTION DRUG","10/21/2022","N/A","ANDA","100 mL in 1 BOTTLE (72189-385-32)","Penicillin-class Antibacterial [EPC], Penicillins [CS]","N/A","No","12/31/2026",0,FALSE,TRUE
