NDC Package Code,category,medication,combo,search_type,search_term,source_file,Proprietary Name,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
0713-0870-30,ARBs,AmlodipineOlmesartan,TRUE,proprietary,Azor,AmlodipineOlmesartan_combo_Azor_proprietary_raw.csv,Azor,"5 mg/1,                         20  mg/1","TABLET, FILM COATED",ORAL,NDA022100,"Cosette Pharmaceuticals, Inc.",0713-0870,amlodipine besylate and olmesartan medoxomil,AMLODIPINE BESYLATE;  OLMESARTAN MEDOXOMIL,HUMAN PRESCRIPTION DRUG,09/01/2022,N/A,NDA,"30 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (0713-0870-30)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC],  Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A Inhibitors [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]",N/A,No,12/31/2026
0713-0871-30,ARBs,AmlodipineOlmesartan,TRUE,proprietary,Azor,AmlodipineOlmesartan_combo_Azor_proprietary_raw.csv,Azor,"10 mg/1,                         20  mg/1","TABLET, FILM COATED",ORAL,NDA022100,"Cosette Pharmaceuticals, Inc.",0713-0871,amlodipine besylate and olmesartan medoxomil,AMLODIPINE BESYLATE;  OLMESARTAN MEDOXOMIL,HUMAN PRESCRIPTION DRUG,09/01/2022,N/A,NDA,"30 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (0713-0871-30)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC],  Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A Inhibitors [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]",N/A,No,12/31/2026
0713-0872-30,ARBs,AmlodipineOlmesartan,TRUE,proprietary,Azor,AmlodipineOlmesartan_combo_Azor_proprietary_raw.csv,Azor,"5 mg/1,                         40  mg/1","TABLET, FILM COATED",ORAL,NDA022100,"Cosette Pharmaceuticals, Inc.",0713-0872,amlodipine besylate and olmesartan medoxomil,AMLODIPINE BESYLATE;  OLMESARTAN MEDOXOMIL,HUMAN PRESCRIPTION DRUG,09/01/2022,N/A,NDA,"30 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (0713-0872-30)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC],  Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A Inhibitors [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]",N/A,No,12/31/2026
0713-0873-30,ARBs,AmlodipineOlmesartan,TRUE,proprietary,Azor,AmlodipineOlmesartan_combo_Azor_proprietary_raw.csv,Azor,"10 mg/1,                         40  mg/1","TABLET, FILM COATED",ORAL,NDA022100,"Cosette Pharmaceuticals, Inc.",0713-0873,amlodipine besylate and olmesartan medoxomil,AMLODIPINE BESYLATE;  OLMESARTAN MEDOXOMIL,HUMAN PRESCRIPTION DRUG,09/01/2022,N/A,NDA,"30 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (0713-0873-30)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC],  Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A Inhibitors [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]",N/A,No,12/31/2026
16110-042-10,ARBs,AmlodipineOlmesartan,TRUE,proprietary,Azor,AmlodipineOlmesartan_combo_Azor_proprietary_raw.csv,Tazorac,1 mg/g,GEL,CUTANEOUS,NDA020600,"Almirall, LLC",16110-042,tazarotene,TAZAROTENE,HUMAN PRESCRIPTION DRUG,02/21/2020,N/A,NDA,1 TUBE in 1 CARTON (16110-042-10)  / 100 g in 1 TUBE,"Retinoid [EPC],  Retinoids [CS]",N/A,No,12/31/2026
16110-042-30,ARBs,AmlodipineOlmesartan,TRUE,proprietary,Azor,AmlodipineOlmesartan_combo_Azor_proprietary_raw.csv,Tazorac,1 mg/g,GEL,CUTANEOUS,NDA020600,"Almirall, LLC",16110-042,tazarotene,TAZAROTENE,HUMAN PRESCRIPTION DRUG,02/21/2020,N/A,NDA,1 TUBE in 1 CARTON (16110-042-30)  / 30 g in 1 TUBE,"Retinoid [EPC],  Retinoids [CS]",N/A,No,12/31/2026
16110-833-10,ARBs,AmlodipineOlmesartan,TRUE,proprietary,Azor,AmlodipineOlmesartan_combo_Azor_proprietary_raw.csv,Tazorac,.5 mg/g,GEL,CUTANEOUS,NDA020600,"Almirall, LLC",16110-833,tazarotene,TAZAROTENE,HUMAN PRESCRIPTION DRUG,02/21/2020,N/A,NDA,1 TUBE in 1 CARTON (16110-833-10)  / 100 g in 1 TUBE,"Retinoid [EPC],  Retinoids [CS]",N/A,No,12/31/2026
16110-833-30,ARBs,AmlodipineOlmesartan,TRUE,proprietary,Azor,AmlodipineOlmesartan_combo_Azor_proprietary_raw.csv,Tazorac,.5 mg/g,GEL,CUTANEOUS,NDA020600,"Almirall, LLC",16110-833,tazarotene,TAZAROTENE,HUMAN PRESCRIPTION DRUG,02/21/2020,N/A,NDA,1 TUBE in 1 CARTON (16110-833-30)  / 30 g in 1 TUBE,"Retinoid [EPC],  Retinoids [CS]",N/A,No,12/31/2026
16110-915-30,ARBs,AmlodipineOlmesartan,TRUE,proprietary,Azor,AmlodipineOlmesartan_combo_Azor_proprietary_raw.csv,TAZORAC,.05 mg/g,CREAM,CUTANEOUS,NDA021184,"Almirall, LLC",16110-915,tazarotene,TAZAROTENE,HUMAN PRESCRIPTION DRUG,02/03/2020,N/A,NDA,1 TUBE in 1 CARTON (16110-915-30)  / 30 g in 1 TUBE,"Retinoid [EPC],  Retinoids [CS]",N/A,No,12/31/2026
16110-915-60,ARBs,AmlodipineOlmesartan,TRUE,proprietary,Azor,AmlodipineOlmesartan_combo_Azor_proprietary_raw.csv,TAZORAC,.05 mg/g,CREAM,CUTANEOUS,NDA021184,"Almirall, LLC",16110-915,tazarotene,TAZAROTENE,HUMAN PRESCRIPTION DRUG,02/03/2020,N/A,NDA,1 TUBE in 1 CARTON (16110-915-60)  / 60 g in 1 TUBE,"Retinoid [EPC],  Retinoids [CS]",N/A,No,12/31/2026
