"broad_group","category","medication","combo","search_type","search_term","source_file","Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:","qc_missing_fields","qc_sparse"
"Gastrointestinal_Medication","Ulcerative_Colitis_Treatment","BalsalazideDisodium",FALSE,"nonproprietary","BalsalazideDisodium","BalsalazideDisodium_nonproprietary_raw.csv","Balsalazide Disodium (U)","64380-209-02",NA,NA,NA,NA,"Strides Pharma Science Limited",NA,NA,NA,NA,NA,"N/A",NA,NA,"N/A","N/A","N/A",NA,3,TRUE
"Gastrointestinal_Medication","Ulcerative_Colitis_Treatment","BalsalazideDisodium",FALSE,"nonproprietary","BalsalazideDisodium","BalsalazideDisodium_nonproprietary_raw.csv","Balsalazide Disodium (U)","64380-209-01",NA,NA,NA,NA,"Strides Pharma Science Limited",NA,NA,NA,NA,NA,"N/A",NA,NA,"N/A","N/A","N/A",NA,3,TRUE
