"broad_group","category","medication","combo","search_type","search_term","source_file","Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Neurologic:musculoskeletal_Medication","NSAID","Acetaminophen",FALSE,"nonproprietary","Acetaminophen","Acetaminophen_nonproprietary_raw.csv","Acetaminophen, Dextromethorphan HBr, Chlorpheniramine Maleate","N/A","N/A","KIT","ORAL","M012","CVS Pharmacy, Inc","51316-609","Acetaminophen, Dextromethorphan HBr, Chlorpheniramine Maleate","N/A","HUMAN OTC DRUG","04/05/2024","N/A","OTC MONOGRAPH DRUG","N/A","N/A","N/A","N/A","12/31/2026"
"Neurologic:musculoskeletal_Medication","NSAID","Acetaminophen",FALSE,"nonproprietary","Acetaminophen","Acetaminophen_nonproprietary_raw.csv","Oxycodone and Acetaminophen","N/A","7.5 mg/1,  325 mg/1","TABLET","ORAL","ANDA204407","Lupin Pharmaceuticals,Inc.","43386-492","Oxycodone and Acetaminophen","OXYCODONE HYDROCHLORIDE,  ACETAMINOPHEN","HUMAN PRESCRIPTION DRUG","02/24/2017","N/A","ANDA","N/A","Full Opioid Agonists [MoA],  Opioid Agonist [EPC]","CII","N/A","12/31/2026"
"Neurologic:musculoskeletal_Medication","NSAID","Acetaminophen",FALSE,"nonproprietary","Acetaminophen","Acetaminophen_nonproprietary_raw.csv","Tylenol Extra Strength","N/A","500 mg/1","TABLET, FILM COATED","ORAL","M013","Navajo Manufacturing Company Inc.","67751-167","ACETAMINOPHEN","ACETAMINOPHEN","HUMAN OTC DRUG","12/04/2017","N/A","OTC MONOGRAPH DRUG","N/A","N/A","N/A","N/A","12/31/2026"
"Neurologic:musculoskeletal_Medication","NSAID","Acetaminophen",FALSE,"nonproprietary","Acetaminophen","Acetaminophen_nonproprietary_raw.csv","Alka-Seltzer Plus Day Severe Cold Plus Flu","N/A","500 mg/1,  20 mg/1,  400 mg/1,  10 mg/1","POWDER, FOR SOLUTION","ORAL","M012","Bayer HealthCare LLC.","0280-0921","ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE, GUAIFENESIN, and PHENYLEPHRINE HYDROCHLORIDE","ACETAMINOPHEN,  DEXTROMETHORPHAN HYDROBROMIDE,  GUAIFENESIN,  PHENYLEPHRINE HYDROCHLORIDE","HUMAN OTC DRUG","04/17/2014","N/A","OTC MONOGRAPH DRUG","N/A","Adrenergic alpha1-Agonists [MoA],  Decreased Respiratory Secretion Viscosity [PE],  Expectorant [EPC],  Increased Respiratory Secretions [PE],  Sigma-1 Agonist [EPC],  Sigma-1 Receptor Agonists [MoA],  Uncompetitive N-methyl-D-aspartate Receptor Antagonist [EPC],  Uncompetitive NMDA Receptor Antagonists [MoA],  alpha-1 Adrenergic Agonist [EPC]","N/A","N/A","12/31/2027"
"Neurologic:musculoskeletal_Medication","NSAID","Acetaminophen",FALSE,"nonproprietary","Acetaminophen","Acetaminophen_nonproprietary_raw.csv","Alka-Seltzer Plus Night Severe Cold and Flu","N/A","650 mg/1,  20 mg/1,  12.5 mg/1,  10 mg/1","POWDER, FOR SOLUTION","ORAL","M012","Bayer HealthCare LLC.","0280-0922","ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE, DOXYLAMINE SUCCINATE, and PHENYLEPHRINE HYDROCHLORIDE","ACETAMINOPHEN,  DEXTROMETHORPHAN HYDROBROMIDE,  DOXYLAMINE SUCCINATE,  PHENYLEPHRINE HYDROCHLORIDE","HUMAN OTC DRUG","04/17/2014","N/A","OTC MONOGRAPH DRUG","N/A","Adrenergic alpha1-Agonists [MoA],  Antihistamine [EPC],  Histamine Receptor Antagonists [MoA],  Sigma-1 Agonist [EPC],  Sigma-1 Receptor Agonists [MoA],  Uncompetitive N-methyl-D-aspartate Receptor Antagonist [EPC],  Uncompetitive NMDA Receptor Antagonists [MoA],  alpha-1 Adrenergic Agonist [EPC]","N/A","N/A","12/31/2027"
"Neurologic:musculoskeletal_Medication","NSAID","Acetaminophen",FALSE,"nonproprietary","Acetaminophen","Acetaminophen_nonproprietary_raw.csv","Alka-Seltzer Plus Multi-Symptom Cold and Flu Day and Night Liquid Gels","N/A","N/A","KIT","ORAL","M012","Bayer HealthCare LLC.","0280-1138","Acetaminophen, Dextromethorphan HBr, Doxylamine succinate, Phenylephrine HCl","N/A","HUMAN OTC DRUG","07/15/2016","N/A","OTC MONOGRAPH DRUG","N/A","N/A","N/A","N/A","12/31/2026"
"Neurologic:musculoskeletal_Medication","NSAID","Acetaminophen",FALSE,"nonproprietary","Acetaminophen","Acetaminophen_nonproprietary_raw.csv","Oxycodone and Acetaminophen","N/A","5 mg/1,  325 mg/1","TABLET","ORAL","ANDA204407","Lupin Pharmaceuticals,Inc.","43386-491","Oxycodone and Acetaminophen","OXYCODONE HYDROCHLORIDE,  ACETAMINOPHEN","HUMAN PRESCRIPTION DRUG","02/24/2017","N/A","ANDA","N/A","Full Opioid Agonists [MoA],  Opioid Agonist [EPC]","CII","N/A","12/31/2026"
"Neurologic:musculoskeletal_Medication","NSAID","Acetaminophen",FALSE,"nonproprietary","Acetaminophen","Acetaminophen_nonproprietary_raw.csv","Oxycodone and Acetaminophen","N/A","2.5 mg/1,  325 mg/1","TABLET","ORAL","ANDA204407","Lupin Pharmaceuticals,Inc.","43386-490","Oxycodone and Acetaminophen","OXYCODONE HYDROCHLORIDE,  ACETAMINOPHEN","HUMAN PRESCRIPTION DRUG","02/24/2017","N/A","ANDA","N/A","Full Opioid Agonists [MoA],  Opioid Agonist [EPC]","CII","N/A","12/31/2026"
"Neurologic:musculoskeletal_Medication","NSAID","Acetaminophen",FALSE,"nonproprietary","Acetaminophen","Acetaminophen_nonproprietary_raw.csv","Pain Relief","N/A","325 mg/1","TABLET","ORAL","M013","Shield Pharmaceuticals Corp.","83059-0160","Acetaminophen","ACETAMINOPHEN","HUMAN OTC DRUG","06/15/2026","N/A","OTC MONOGRAPH DRUG","N/A","N/A","N/A","N/A","12/31/2027"
"Neurologic:musculoskeletal_Medication","NSAID","Acetaminophen",FALSE,"nonproprietary","Acetaminophen","Acetaminophen_nonproprietary_raw.csv","acetaminophen for children","N/A","120 mg/1","SUPPOSITORY","RECTAL","ANDA070607","A-S Medication Solutions","50090-0001","Acetaminophen","ACETAMINOPHEN","HUMAN OTC DRUG","12/14/2010","09/30/2026","ANDA","N/A","N/A","N/A","N/A","N/A"
