"broad_group","category","medication","combo","raw_files","raw_rows","nonproprietary_rows","proprietary_rows","exact_duplicates_removed","conflicting_ndc_codes","conflicting_rows_retained","missing_ndc_rows","sparse_rows","distinct_ndc_codes","final_master_rows"
"Cardiovascular_Medication","Other_Cardiovascular_Drugs","Rosuvastatin",FALSE,2,745,741,4,4,0,0,0,0,741,741
"Cardiovascular_Medication","Other_Cardiovascular_Drugs","Simvastatin",FALSE,2,523,517,6,6,0,0,0,4,517,517
"Cardiovascular_Medication","Other_Cardiovascular_Drugs","Sotagliflozin",FALSE,2,12,6,6,6,0,0,0,0,6,6
"Cardiovascular_Medication","Other_Cardiovascular_Drugs","Sotalol",FALSE,2,140,134,6,6,0,0,0,0,134,134
"Cardiovascular_Medication","Other_Cardiovascular_Drugs","Sotaterceptcsrk",FALSE,2,8,4,4,4,0,0,0,0,4,4
"Cardiovascular_Medication","Other_Cardiovascular_Drugs","Ticagrelor",FALSE,2,109,103,6,6,0,0,0,0,103,103
"Cardiovascular_Medication","Other_Cardiovascular_Drugs","Vericiguat",FALSE,2,22,11,11,11,0,0,0,0,11,11
"Cardiovascular_Medication","Other_Cardiovascular_Drugs","Warfarin",FALSE,2,419,392,27,27,0,0,0,12,392,392
"Gastrointestinal_Medication","Antacids","AluminumHydroxide",FALSE,1,138,138,0,0,0,0,0,0,138,138
"Gastrointestinal_Medication","Antacids","AluminumHydroxideMagnesiumHydroxide",TRUE,1,16,0,16,0,0,0,0,0,16,16
"Gastrointestinal_Medication","Antacids","AluminumPhosphate",FALSE,1,1,1,0,0,0,0,0,0,1,1
"Gastrointestinal_Medication","Antacids","BismuthSubgallate",FALSE,2,4,2,2,2,0,0,0,0,2,2
"Gastrointestinal_Medication","Antacids","BismuthSubnitrate",FALSE,1,6,6,0,0,0,0,0,0,6,6
"Gastrointestinal_Medication","Antacids","CalciumCarbonate",FALSE,2,1016,902,114,114,0,0,0,1,902,902
"Gastrointestinal_Medication","Antacids","CalciumCarbonateMagnesiumHydroxide",TRUE,1,38,0,38,0,0,0,0,0,38,38
"Gastrointestinal_Medication","Antacids","CalciumPhosphate",FALSE,1,55,55,0,0,0,0,0,0,55,55
"Gastrointestinal_Medication","Antacids","Citrate",FALSE,1,719,719,0,0,0,0,0,0,719,719
"Gastrointestinal_Medication","Antacids","Glycine",FALSE,1,87,87,0,0,0,0,0,0,87,87
"Gastrointestinal_Medication","Antacids","Magaldrate",FALSE,1,1,0,1,0,0,0,0,0,1,1
