"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"CELESTONE SOLUSPAN","78206-118-01","3 mg/mL,                         3  mg/mL","INJECTION, SUSPENSION","INTRA-ARTICULAR; INTRALESIONAL; INTRAMUSCULAR; SOFT TISSUE","NDA014602","Organon LLC","78206-118","Betamethasone Acetate and Betamethasone Sodium Phosphate","BETAMETHASONE ACETATE;  BETAMETHASONE SODIUM PHOSPHATE","HUMAN PRESCRIPTION DRUG","06/01/2021","N/A","NDA","1 VIAL, MULTI-DOSE in 1 BOX (78206-118-01)  / 5 mL in 1 VIAL, MULTI-DOSE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"CELESTONE SOLUSPAN","85766-070-05","3 mg/mL,                         3  mg/mL","INJECTION, SUSPENSION","INTRA-ARTICULAR; INTRALESIONAL; INTRAMUSCULAR; SOFT TISSUE","NDA014602","Sportpharm LLC","85766-070","Betamethasone Acetate and Betamethasone Sodium Phosphate","BETAMETHASONE ACETATE;  BETAMETHASONE SODIUM PHOSPHATE","HUMAN PRESCRIPTION DRUG","10/01/2025","N/A","NDA","1 VIAL, MULTI-DOSE in 1 BOX (85766-070-05)  / 5 mL in 1 VIAL, MULTI-DOSE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC],  Corticosteroid [EPC]","N/A","No","12/31/2027"
