"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Methylprednisolone Sodium Succinate","55150-263-03","125 mg/1","INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","ANDA207667","Eugia US LLC","55150-263","Methylprednisolone Sodium Succinate","METHYLPREDNISOLONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","12/15/2015","N/A","ANDA","25 VIAL, SINGLE-DOSE in 1 CARTON (55150-263-03)  / 1 INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION in 1 VIAL, SINGLE-DOSE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Methylprednisolone Sodium Succinate","55150-264-20","500 mg/1","INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","ANDA207667","Eugia US LLC","55150-264","Methylprednisolone Sodium Succinate","METHYLPREDNISOLONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","12/15/2015","N/A","ANDA","1 VIAL, MULTI-DOSE in 1 CARTON (55150-264-20)  / 1 INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION in 1 VIAL, MULTI-DOSE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Methylprednisolone Sodium Succinate","55150-265-50","2 g/1","INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","ANDA207667","Eugia US LLC","55150-265","Methylprednisolone Sodium Succinate","METHYLPREDNISOLONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","12/15/2015","N/A","ANDA","1 VIAL, SINGLE-DOSE in 1 CARTON (55150-265-50)  / 1 INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION in 1 VIAL, SINGLE-DOSE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Methylprednisolone Sodium Succinate","63323-255-03","40 mg/mL","INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","ANDA040583","Fresenius Kabi USA, LLC","63323-255","METHYLPREDNISOLONE SODIUM SUCCINATE","METHYLPREDNISOLONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","11/30/2004","N/A","ANDA","25 VIAL, SINGLE-DOSE in 1 TRAY (63323-255-03)  / 1 mL in 1 VIAL, SINGLE-DOSE (63323-255-01)","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"Methylprednisolone Sodium Succinate","63323-258-03","125 mg/2mL","INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","ANDA040583","Fresenius Kabi USA, LLC","63323-258","METHYLPREDNISOLONE SODIUM SUCCINATE","METHYLPREDNISOLONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","11/30/2004","N/A","ANDA","25 VIAL, SINGLE-DOSE in 1 TRAY (63323-258-03)  / 2 mL in 1 VIAL, SINGLE-DOSE (63323-258-01)","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"Methylprednisolone Sodium Succinate","63323-265-30","1 g/16mL","INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","ANDA040612","Fresenius Kabi USA, LLC","63323-265","METHYLPREDNISOLONE SODIUM SUCCINATE","METHYLPREDNISOLONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","11/30/2004","N/A","ANDA","1 VIAL, MULTI-DOSE in 1 CARTON (63323-265-30)  / 16 mL in 1 VIAL, MULTI-DOSE","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"Methylprednisolone sodium succinate","70518-3684-0","125 mg/2mL","INJECTION","INTRAMUSCULAR; INTRAVENOUS","ANDA212396","REMEDYREPACK INC.","70518-3684","Methylprednisolone sodium succinate","METHYLPREDNISOLONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","03/17/2023","N/A","ANDA","25 VIAL, SINGLE-DOSE in 1 CARTON (70518-3684-0)  / 2 mL in 1 VIAL, SINGLE-DOSE (70518-3684-1)","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Methylprednisolone Sodium Succinate","70518-4345-0","125 mg/1","INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","ANDA203125","REMEDYREPACK INC.","70518-4345","Methylprednisolone Sodium Succinate","METHYLPREDNISOLONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","05/27/2025","N/A","ANDA","25 VIAL, SINGLE-DOSE in 1 CARTON (70518-4345-0)  / 1 INJECTION, POWDER, FOR SOLUTION in 1 VIAL, SINGLE-DOSE (70518-4345-1)","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2026"
"Methylprednisolone Sodium Succinate","72572-097-25","40 mg/1","INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","ANDA203125","Civica, Inc.","72572-097","Methylprednisolone Sodium Succinate","METHYLPREDNISOLONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","12/01/2025","N/A","ANDA","25 VIAL, SINGLE-DOSE in 1 CARTON (72572-097-25)  / 1 INJECTION, POWDER, FOR SOLUTION in 1 VIAL, SINGLE-DOSE (72572-097-01)","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
"Methylprednisolone Sodium Succinate","72572-098-25","125 mg/1","INJECTION, POWDER, FOR SOLUTION","INTRAMUSCULAR; INTRAVENOUS","ANDA203125","Civica, Inc.","72572-098","Methylprednisolone Sodium Succinate","METHYLPREDNISOLONE SODIUM SUCCINATE","HUMAN PRESCRIPTION DRUG","12/01/2025","N/A","ANDA","25 VIAL, SINGLE-DOSE in 1 CARTON (72572-098-25)  / 1 INJECTION, POWDER, FOR SOLUTION in 1 VIAL, SINGLE-DOSE (72572-098-01)","Corticosteroid Hormone Receptor Agonists [MoA],  Corticosteroid [EPC]","N/A","No","12/31/2027"
